
id,log_message,2025-08-16 19:55:58,source,severity,anomaly_flag,anomaly_reason,target_label
1,Successfully scheduled Software Protection service for re-start at 2125-05-08T13:11:47Z. Reason: RulesEngine.,2025-06-01 14:11:47,Microsoft-Windows-Security-SPP,Information,False,,normal
2,Offline downlevel migration succeeded.,2025-06-01 14:11:51,Microsoft-Windows-Security-SPP,Information,False,,normal
3,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 14:24:53,SecurityCenter,Information,False,,normal
4,Security Center failed to validate caller with error DC040780.,2025-06-01 14:24:53,SecurityCenter,Error,True,validation failure,anomaly
5,Successfully scheduled Software Protection service for re-start at 2125-05-08T13:24:32Z. Reason: RulesEngine.,2025-06-01 14:24:32,Microsoft-Windows-Security-SPP,Information,False,,normal
6,Offline downlevel migration succeeded.,2025-06-01 14:23:49,Microsoft-Windows-Security-SPP,Information,False,,normal
7,Successfully scheduled Software Protection service for re-start at 2125-05-08T13:22:54Z. Reason: RulesEngine.,2025-06-01 14:22:54,Microsoft-Windows-Security-SPP,Information,False,,normal
8,Offline downlevel migration succeeded.,2025-06-01 14:22:23,Microsoft-Windows-Security-SPP,Information,False,,normal
9,PowerEvent handled successfully by the service.,2025-06-01 14:51:23,igcc,Information,False,,normal
10,PowerEvent handled successfully by the service.,2025-06-01 14:51:20,igcc,Information,False,,normal
11,PowerEvent handled successfully by the service.,2025-06-01 14:51:08,igcc,Information,False,,normal
12,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:27:51,SecurityCenter,Information,False,,normal
13,Security Center failed to validate caller with error DC040780.,2025-06-01 15:27:51,SecurityCenter,Error,True,validation failure,anomaly
14,Updated Trend Micro Security Agent status successfully to SECURITY_PRODUCT_STATE_ON.,2025-06-01 15:30:32,SecurityCenter,Information,False,,normal
15,Security Center failed to validate caller with error DC040780.,2025-06-01 15:30:32,SecurityCenter,Error,True,validation failure,anomaly
